id,name,series,year,platform,format,client,player_local,player_online,completion,subscription,online support
26,Assassin's Creed Chronicles: Russia,Assassin's Creed,2016,PC,digital,Uplay/Ubisoft,1,0,not started,no,no
27,Assassin's Creed: Freedom Cry,Assassin's Creed,2014,PS4,digital,Console,1,0,not started,yes,no
28,Astral Chain,n/a,2019,Nintendo Switch,physical,Console,1-2,0,not started,no,no
29,Astroneer,n/a,2019,PC,digital,Steam,1,2-8,unfinished,no,yes
30,Atari: Anniversary Edition,Bundle,2001,PC,physical,PC Disc,1,0,not started,no,no
31,ATV Offroad Fury 3,ATV Offroad Fury,2004,PS2,physical,Console,1-2,0,not started,no,no
32,Automachef,n/a,2019,PC,digital,Epic,1,0,not started,no,no
33,Aven Colony,n/a,2017,PC,digital,Epic,1,0,not started,no,no
34,Balder's Gate II: Enhanced Edition,Dungeons & Dragons,2013,PC,digital,Steam,1,2-6,not started,no,yes
35,Balder's Gate: Enhanced Edition,Dungeons & Dragons,2012,PC,digital,Steam,1,2-6,not started,no,yes
36,Baldur's Gate: The Original Saga,Dungeons & Dragons,1999,PC,physical,PC Disc,1,0,not started,no,no
37,Bastion,n/a,2011,PC,digital,Steam,1,0,perfect (100%),no,no
38,Batman: Arkham Knight,Batman: Arkham,2015,PS4,digital,Console,1,0,unfinished,no,no
39,Battleborn,n/a,2016,PS4,digital,Console,0,6-10,unfinished,no,unplayable
40,Beat the House 2,Beat the House,2002,PC,physical,PC Disc,1,0,not started,no,no
41,Beautiful Desolation,n/a,2020,PC,digital,GOG,1,0,not started,no,no
42,Beholder,Beholder,2016,PC,digital,Steam,1,0,not started,no,no
43,Beneath the Steel Sky,n/a,1994,PC,digital,GOG,1,0,not started,no,no
44,Bio Menace,n/a,1993,PC,digital,GOG,1,0,not started,no,no
45,BioShock 2: Remastered,BioShock,2016,PC,digital,Epic,1,0,beaten,no,no
46,BioShock Infinite: Complete Edition,BioShock,2016,PC,digital,Epic,1,0,beaten,no,no
47,BioShock: Remastered,BioShock,2016,PC,digital,Epic,1,0,beaten,no,no
48,Black Desert,n/a,2019,PC,digital,Steam,0,2-99+,not started,no,yes
49,Black Widow: Recharged,n/a,2021,PC,digital,Epic,1,0,not started,no,no
50,Blasphemous,n/a,2019,PC,digital,Steam,1,0,unfinished,no,no
51,Blind Fate: Edo no Yami - Dojo,n/a,2022,PC,digital,GOG,1,0,not started,no,no
52,Blood Spear,n/a,2021,PC,digital,Steam,1,0,not started,no,no
53,Bloodborne,SoulsBorne,2015,PS4,digital,Console,1,0,beaten,no,yes
54,Borderlands 2,Borderlands,2012,PC,digital,Steam,1,2-4,beaten,no,yes
55,Borderlands 3,Borderlands,2019,PC,digital,Multiple,1,2-4,unfinished,no,yes
56,Borderlands GOTY,Borderlands,2012,PC,digital,Steam,1,2-4,beaten,no,yes
57,Borderlands GOTY Enhanced,Borderlands,2019,PC,digital,Steam,1,2-4,beaten,no,yes
58,Borderlands: The Handsome Collection,Borderlands,2015,PS4,digital,Console,1-4,2-4,beaten,yes,yes
59,Bound,n/a,2016,PS4,digital,Console,1,0,not started,yes,no
60,Brawlhalla,n/a,2014,PC,digital,Steam,1,2-8,not started,no,yes
61,Bridge Constructor: The Walking Dead,Bridge Constructor,2020,PC,digital,Epic,1,0,not started,no,no
62,Broforce,n/a,2016,PS4,digital,Console,1-4,2-4,not started,yes,yes
63,Brothers - A Tale of Two Sons,n/a,2013,PC,digital,Epic,1,0,perfect (100%),no,no
64,Call of Duty: Advanced Warfare,Call of Duty,2014,Xbox 360,physical,Console,1-2,2-12,not started,no,yes
65,Call of Duty: Black Ops,Call of Duty,2010,Nintendo Wii,physical,Console,1,0,unfinished,no,terminated
66,Call of Duty: Black Ops II,Call of Duty,2012,Xbox 360,physical,Console,1-4,2-18,unfinished,no,yes
67,Call of Duty: Modern Warfare 2 Campaign Remastered,Call of Duty,2020,PS4,digital,Console,1,0,not started,yes,no
68,Call of Duty: WWII,Call of Duty,2017,PS4,digital,Console,1-2,2-48,not started,yes,yes
69,Call of Juarez: Gunslinger,Call of Juarez,2013,PC,digital,Steam,1,0,not started,no,no
70,Card Games: Twin Pack,Bundle,2003,PC,physical,PC Disc,1,0,not started,no,terminated
71,Card Games: Volume 2,Bundle,2004,PC,physical,PC Disc,1,0,not started,no,no
72,Casino Master,Casino Master,2004,PC,physical,PC Disc,1,0,not started,no,no
73,Casino Master Multimedia,Casino Master,1993,PC,physical,PC Disc,1,0,not started,no,no
74,Cayne,Stasis,2017,PC,digital,GOG,1,0,not started,no,no
75,Centipede: Recharged,Centipede,2021,PC,digital,Epic,1,0,not started,no,no
76,Championship Foosball,n/a,2008,Nintendo Wii,physical,Console,1-4,0,not started,no,no
77,Child of Light,n/a,2018,Nintendo Switch,digital,Console,1-2,0,unfinished,no,no
78,Chrono Trigger,Chrono,2008,Nintendo DS,physical,Console,1,0,beaten,no,no
79,ChuChu Rocket,n/a,2000,SEGA Dreamcast,physical,Console,1-4,2-4,not started,no,terminated
80,Citie: Skylines,n/a,2015,PC,digital,Epic,1,0,not started,no,no
81,Cities: Skylines - PlayStation 4 Edition,n/a,2017,PS4,digital,Console,1,0,unfinished,yes,no
82,City of Brass,n/a,2017,PC,digital,Epic,1,0,not started,no,no
83,City of Heroes,n/a,2004,PC,physical,PC Disc,0,2-99+,not started,no,unplayable
84,Command & Conquer: Red Alert 2,Command & Conquer,2000,PC,physical,PC Disc,1,2-4,not started,no,terminated
85,Commander Blood,n/a,1994,PC,physical,PC Disc,1,0,not started,no,no
86,Commandos 2: Men of Courage,Commandos,2001,PC,physical,PC Disc,1,0,not started,no,no
87,Company of Heroes 2,Company of Heroes,2013,PC,digital,Steam,1,2-8,not started,no,yes
88,Conan Exiles,Conan,2017,PS4,digital,Console,1,2-40,unfinished,yes,yes
89,Concrete Genie,n/a,2019,PS4,digital,Console,1,0,beaten,yes,no
90,"Control Ultimate Edition
",n/a,2019,"PS4, PC",digital,Console&PC,1,0,not started,no,no
91,"Cook, Serve, Delicious! 3?!","Cook, Serve, Delicious!",2020,PC,digital,Epic,1-2,0,not started,no,no
92,Corridor 7: Alien Invasion,n/a,1994,PC,physical,PC Disc,1,2-12,not started,no,terminated
93,Crackdown,Crackdown,2007,Xbox 360,digital,Console,1,2,unfinished,no,yes
94,Crackdown 2,Crackdown,2010,Xbox 360,digital,Console,1,2-4,not started,no,yes
95,Crash & Burn Pinball,n/a,1994,PC,physical,PC Disc,1,0,not started,no,no
96,Crash Bandicoot 4: It's Time,Crash Bandicoot,2020,PS4,digital,Console,1-4,2-4,unfinished,yes,yes
97,Crazy Taxi,Crazy Taxi,2001,PS2,physical,Console,1,0,unfinished,no,no
98,Crimson Alliance,n/a,2011,Xbox 360,digital,Console,1-4,2-4,unfinished,no,yes
99,Cris Tales,n/a,2021,PC,digital,Epic,1,0,not started,no,no
100,Crystal Caliburn,n/a,1993,PC,physical,PC Disc,1,0,not started,no,no
101,Curse of the Dead Gods,n/a,2020,PS4,digital,Console,1,0,unfinished,no,no
102,Cyberpunk 2077,Cyberpunk,2020,PC,digital,Steam,1,0,unfinished,no,no
103,D/Generation,n/a,1991,PC,physical,PC Disc,1,0,not started,no,no
104,Daemon X Machina,n/a,2020,PC,digital,Epic,1,2-4,not started,no,yes
105,Dagon: by H.P. Lovecraft,H.P. Lovecraft,2021,PC,digital,GOG,1,0,not started,no,no
106,Dark Souls II: Scholar of the First Sin,SoulsBorne,2015,PC,digital,Steam,1,2-6,unfinished,no,yes
107,Darksiders II: Deathinitive Edition,Darksiders,2015,PS4,digital,Console,1,0,unfinished,yes,no
108,Darksiders III,Darksiders,2018,PS4,digital,Console,1,0,not started,yes,no
109,Dauntless,n/a,2018,PS4,digital,Console,1,2-4,unfinished,no,yes
110,Dave Mirra: Freestyle BMX,Dave Mirra,2000,PS1,physical,Console,1-2,0,beaten,no,no
111,Dave Mirra: Freestyle BMX 2,Dave Mirra,2001,PS2,physical,Console,1-2,0,beaten,no,no
112,Day of the Tentacle,Maniac Mansion,1993,PC,physical,PC Disc,1,0,not started,no,no
113,Day of the Tentacle: Remastered,Maniac Mansion,2016,PS4,digital,Console,1,0,perfect (100%),yes,no
114,Days Gone,n/a,2019,PS4,digital,Console,1,0,not started,yes,no
115,DC Universe Online,DC Comics,2013,PS4,digital,Console,0,2-99+,beaten,no,yes
116,Dead by Daylight,n/a,2016,PC,digital,Epic,0,2-5,not started,no,yes
117,Dead Star,n/a,2016,PS4,digital,Console,1,2-25,not started,yes,unplayable
118,Dear Esther: Landmark Edition,n/a,2017,PC,digital,Steam,1,0,not started,no,no
119,Deathly Stillness,n/a,2021,PC,digital,Steam,1,0,not started,no,no
120,Deca Sports,Deca Sports,2008,Nintendo Wii,physical,Console,1-4,0,not started,no,no
121,Deca Sports 2,Deca Sports,2009,Nintendo Wii,physical,Console,1-4,0,not started,no,no
122,Deep Rock Galactic,n/a,2020,PC,digital,Steam,1,2-4,unfinished,no,yes
123,Deep Sea Fishing 2: Offshore Angler,Deep Sea Fishing,2001,PC,physical,PC Disc,1,2-8,not started,no,terminated
124,Deer Drive,n/a,2007,Nintendo Wii,physical,Console,1-4,0,not started,no,no
125,Defense Grid: The Awakening,Defense Grid,2008,PC,digital,Epic,1,0,not started,no,no
126,Delores: A Thimbleweed Park Mini-Adventure,Thimbleweed Park,2020,PC,digital,GOG,1,0,not started,no,no
127,Delta Force - Black Hawk Down: Team Sabre (Expansion),Delta Force,2004,PC,physical,PC Disc,1,0,not started,no,no
128,Delta Force 2,Delta Force 2,2001,PC,physical,PC Disc,1,2-50,not started,no,terminated
129,Demon Stone,Dungeons & Dragons,2004,PS2,physical,Console,1,0,unfinished,no,no
130,Demon's Tilt,n/a,2019,PC,digital,Epic,1,0,not started,no,no
131,Dennis Miller: That's Geek to Me,n/a,1995,PC,physical,PC Disc,1,0,not started,no,no
132,Descent II,Descent,1996,PC,physical,PC Disc,1,0,not started,no,no
133,Despotism 3k,n/a,2018,PC,digital,Steam,1,0,not started,no,no
134,Detroit: Become Human,n/a,2018,PS4,digital,Console,1,0,not started,yes,no
135,Deus Ex GOTY,Deus Ex,2001,PC,both,Multiple,1,0,not started,no,no
136,Deus Ex: Human Revolution - Director's Cut,Deus Ex,2013,PC,digital,Steam,1,0,not started,no,no
137,Deus Ex: Invisible War,Deus Ex,2003,PC,digital,Steam,1,0,not started,no,no
138,Deus Ex: Mankind Divided,Deus Ex,2016,PS4,digital,Console,1,0,beaten,yes,no
139,Deus Ex: The Fall,Deus Ex,2013,PC,digital,Steam,1,0,not started,no,no
140,Dex,n/a,2020,Nintendo Switch,digital,Console,1,0,unfinished,no,no
141,Diablo,Diablo,1998,PC,physical,PC Disc,1,2-4,beaten,no,yes
142,Diablo II,Diablo,2000,PC,physical,PC Disc,1,2-8,beaten,no,yes
143,Diablo II: Lords of Destruction (Expansion),Diablo,2001,PC,physical,PC Disc,1,2-8,beaten,no,yes
144,Diablo III,Diablo,2012,PC,digital,Battle.net,1,2-4,beaten,yes,yes
145,Diablo III: Eternal Collection,Diablo,2018,Nintendo Switch,digital,Console,1-4,2-4,unfinished,yes,yes
146,Dink Smallwood HD,n/a,1999,PC,digital,GOG,1,0,not started,no,no
147,Dinotopia: Game Land Activity Center,Activity Center,2002,PC,physical,PC Disc,1,0,not started,no,no
148,Disc Jam,n/a,2017,PS4,digital,Console,1-4,2-4,not started,yes,yes
149,Divine Divinity,Divinity,2002,PC,digital,Steam,1,0,not started,no,no
150,Divinity: Original Sin 2 - Definitive Edition,Divinity,2017,PC,digital,Steam,1-2,2-4,unfinished,no,yes
151,DJ Hero,Hero,2009,PS3,physical,Console,1-2,2,not started,no,yes
152,Doom 64,Doom,2020,PC,digital,Epic,1,0,not started,no,no
153,Doom I/II Collection (Expansion),Doom,1996,PC,physical,PC Disc,1,2-4,not started,no,terminated
154,Doomdark's Revenge,The Lords of Midnight,2014,PC,digital,GOG,1,0,not started,no,no
155,Doritos Crash Course,Doritos Crash Course,2010,Xbox 360,digital,Console,1-4,2-4,unfinished,no,yes
156,Dragon Ball FighterZ,Dragon Ball Z,2018,Nintendo Switch,physical,Console,1-2,2,unfinished,yes,yes
157,Dragon Ball Z: Budokai,Dragon Ball Z,2003,PS2,physical,Console,1-2,0,perfect (100%),no,no
158,Dragon Quest XI: Echoes of an Elusive Age S - Definitive Edition,Dragon Quest,2019,Nintendo Switch,physical,Console,1,0,unfinished,no,no
159,Drift: When Worlds Collide,n/a,2002,PC,physical,PC Disc,1,2-8,not started,no,terminated
160,Dungeon Defenders II,Dungeon Defenders,2017,PS4,digital,Console,1-2,2-4,unfinished,no,yes
161,Endless Space: Definitive Edition,Endless Space,2012,PC,digital,Steam,1,2-8,not started,no,yes
162,Erica,n/a,2019,PS4,digital,Console,1,0,unfinished,yes,no
163,Eschalon: Book I,Eschalon,2006,PC,digital,GOG,1,0,not started,no,no
164,Europa Universalis IV,Europa Universalis,2013,PC,digital,Epic,1,2-12,not started,no,yes
165,Evolva,n/a,2000,PC,physical,PC Disc,1,2-4,not started,no,terminated
166,Evolve,n/a,2015,PS4,digital,Console,0,5,unfinished,no,yes
167,F-16 Aggressor,n/a,1998,PC,physical,PC Disc,1,2-8,not started,no,terminated
168,F-22 Raptor,F-22,1997,PC,physical,PC Disc,1,0,not started,no,no
169,Fall Guys: Ultimate Knockout,n/a,2020,PS4,digital,Console,0,2-60,unfinished,yes,yes
170,Fallout 2: A Post Nuclear Role Playing Game,Fallout,1998,PC,digital,Steam,1,0,unfinished,no,no
171,Fallout 3 GOTY,Fallout,2009,PC,digital,Steam,1,0,beaten,no,no
172,Fallout Tactics: Brotherhood of Steel,Fallout,2001,PC,digital,Steam,1,2-16,unfinished,no,yes
173,Fallout: A Post Nuclear Role Playing Game,Fallout,1997,PC,digital,Steam,1,0,unfinished,no,no
174,Fallout: New Vegas,Fallout,2010,PC,digital,Steam,1,0,beaten,no,no
175,Far Cry 3,Far Cry,2012,PC,digital,Uplay/Ubisoft,1,2-4,beaten,no,yes
176,Far Cry 3: Blood Dragon,Far Cry,2013,PC,digital,Uplay/Ubisoft,1,0,beaten,no,no
177,Farming Simulator 19,Farming Simulator,2018,PS4,digital,Console,1,2-6,not started,yes,yes
178,Farpoint,n/a,2017,PS4,digital,Console,1,2,not started,yes,yes
179,Final Fantasy VII Remake,Final Fantasy,2020,PS4,digital,Console,1,0,unfinished,yes,no
180,Final Fantasy VIII,Final Fantasy,2000,PC,digital,Steam,1,0,beaten,no,no
181,Final Fantasy XIV Online,Final Fantasy,2010,"PS4, PC",digital,Console&PC,0,2-99+,unfinished,yes,yes
182,Flashback,n/a,1993,PC,digital,Multiple,1,0,unfinished,no,no
183,Flight of the Amazon Queen,Amazon Queen,2004,PC,digital,GOG,1,0,not started,no,no
184,Forbidden Forest,Forbidden Forest,2003,PC,physical,PC Disc,1,0,not started,no,no
185,Freekstyle,n/a,2002,PS2,physical,Console,1-2,0,beaten,no,no
186,Frostpunk,n/a,2018,PC,digital,Epic,1,0,not started,no,no
187,Frozen Free Fall: Snowball Fight,Frozen,2015,Xbox 360,digital,Console,1,0,unfinished,no,no
188,Furi,n/a,2016,PS4,digital,Console,1,0,unfinished,yes,no
189,Fusion Frenzy 2,Fusion Frenzy,2006,Xbox 360,physical,Console,1-4,2-4,unfinished,no,yes
190,Galactic Civilizations III,Galactic Civilizations,2015,PC,digital,Epic,1,16-100,not started,no,yes
191,GALAK-Z: The Dimensional,n/a,2015,PS4,digital,Console,1,1,unfinished,yes,yes
192,Games for Windows 95,Bundle,1995,PC,physical,PC Disc,1,0,not started,no,no
193,Gangland,n/a,2004,PC,physical,PC Disc,1,2-8,not started,no,terminated
194,Gauntlet: Slayer Edition,Gauntlet,2015,PS4,digital,Console,1-4,2-4,unfinished,yes,yes
195,Geneforge 1: Mutagen,Geneforge,2021,PC,digital,Epic,1,0,not started,no,no
196,Genshin Impact,n/a,2020,PC,digital,Epic,1,2-99+,not started,no,yes
197,Ghost Rider,Marvel,2006,PSP,physical,Console,1,0,unfinished,no,no
198,Goat Simulator,n/a,2015,PS4,digital,Console,1-4,0,unfinished,yes,no
199,God of War,God of War,2005,PS2,physical,Console,1,0,perfect (100%),no,no
200,God of War,God of War,2018,PS4,both,Console,1,0,unfinished,no,no
201,Godfall,n/a,2020,PC,digital,Epic,1,2-4,not started,no,yes
202,Gods Will Fall,n/a,2021,PC,digital,Epic,1,0,not started,no,no
203,Gone Home: Console Edition,n/a,2016,PS4,digital,Console,1,0,unfinished,yes,no
204,Gran Turismo,Gran Turismo,1997,PS1,physical,Console,1-2,0,beaten,no,no
205,Granblue Fantasy: Versus,Granblue Fantasy,2020,PS4,digital,Console,1-2,2,not started,yes,yes
206,Grand Theft Auto: San Andreas - The Introduction (short film),Grand Theft Auto,2005,PC,physical,PC Disc,1,0,perfect (100%),no,no
207,Great Qin Warriors: Revenge of the Replicators,n/a,2003,PC,physical,PC Disc,1,2-16,not started,no,terminated
208,GreedFall,GreedFall,2019,PS4,digital,Console,1,0,not started,yes,no
209,Guild of Dungeoneering,n/a,2015,PC,digital,Epic,1,0,not started,no,no
210,Guitar Hero II,Guitar Hero,2006,Xbox 360,physical,Console,1-2,2,unfinished,no,yes
211,Guitar Hero III: Legends of Rock,Guitar Hero,2007,Xbox 360,physical,Console,1-2,2,not started,no,yes
212,Guitar Hero: Metallica,Guitar Hero,2009,Xbox 360,physical,Console,1-4,2-8,not started,no,yes
213,Gwent: The Witcher Card Game,The Witcher,2018,PS4,digital,Console,0,2,unfinished,no,yes
214,Hades,n/a,2020,Nintendo Switch,digital,Console,1,0,unfinished,no,no
215,Half-Life,Half-Life,1998,PC,digital,Steam,1,2-32,unfinished,no,yes
216,Half-Life 2,Half-Life,2004,PC,digital,Steam,1,0,not started,no,no
217,Half-Life 2: Deathmatch,Half-Life,2004,PC,digital,Steam,0,2-32,not started,no,yes
218,Half-Life 2: Episode One,Half-Life,2006,PC,digital,Steam,1,0,not started,no,no
219,Half-Life 2: Episode Two,Half-Life,2007,PC,digital,Steam,1,0,not started,no,no
220,Half-Life 2: Lost Coast,Half-Life,2005,PC,digital,Steam,1,0,not started,no,no
221,Half-Life Deathmatch: Source,Half-Life,2006,PC,digital,Steam,0,2-32,not started,no,yes
222,Half-Life GOTY,Half-Life,1999,PC,physical,PC Disc,1,2-32,unfinished,no,terminated
223,Halo 2: Limited Collector's Edition,Halo,2004,Xbox (Original),physical,Console,1-4,2-16,perfect (100%),no,terminated
224,Hasbro Family Game Night,Family Game Night,2009,Xbox 360,digital,Console,1-4,2-4,not started,no,yes
225,Heavy Rain,n/a,2016,PS4,digital,Console,1,0,not started,yes,no
226,Hell Cab - Checker Special,n/a,1993,PC,physical,PC Disc,1,0,not started,no,no
227,Hell is Other Demons,n/a,2010,PC,digital,Epic,1,0,not started,no,no
228,Helldivers,n/a,2015,PS4,digital,Console,1-4,1-4,unfinished,yes,yes
229,Hello Neighbor: Alpha Version,n/a,2017,PC,digital,GOG,1,0,not started,no,no
230,Helltaker,n/a,2020,PC,digital,Steam,1,0,not started,no,no
231,Hexic HD,Hexic,2005,Xbox 360,digital,Console,1,1,unfinished,no,yes
232,Hollow Knight: Voidheart Edition,n/a,2018,"Nintendo Switch, PS4",digital,Console,1,0,unfinished,no,no
233,Hood: Outlaws & Legends,n/a,2021,"PS4, PC",digital,Console&PC,0,1-4,not started,no,yes
234,HordeCore: Training Ground,n/a,2020,PC,digital,GOG,1-4,2-4,not started,no,yes
235,Horizon Chase Turbo,Horizon Chase,2019,"PS4, PC",digital,Console&PC,1-4,1,unfinished,no,yes
236,Horizon Zero Dawn: Complete Edition,Horizon,2017,PS4,digital,Console,1,0,unfinished,no,no
237,Hundred Days - Winemaking Simulator,,2021,PC,digital,Epic,1,0,not started,no,no
238,Hyrule Warriors: Age of Calamity,The Legend of Zelda,2020,Nintendo Switch,physical,Console,1-2,0,unfinished,no,no
239,I Have No Mouth and I Must Scream,n/a,1995,PC,digital,GOG,1,0,not started,no,no
240,Icewind Dale,Dungeons & Dragons,2000,PC,physical,PC Disc,1,0,not started,no,no
241,Immortal Redneck,,2017,PC,digital,GOG,1,0,not started,no,no
242,In Sound Mind,n/a,2021,PC,digital,Epic,1,0,not started,no,no
243,inFamous: Second Son,inFamous,2013,PS4,digital,Console,1,0,not started,yes,no
244,Insurmountable,n/a,2021,PC,digital,Epic,1,0,not started,no,no
245,Iratus: Lord of the Dead ,n/a,2020,PC,digital,Multiple,1,0,not started,no,no
246,Iris and the Giant,n/a,2020,PC,digital,GOG,1,0,not started,no,no
247,Ironcast,n/a,2015,PC,digital,Epic,1,0,not started,no,no
248,Islanders,n/a,2019,PC,digital,Steam,1,0,perfect (100%),no,no
249,Jagged Alliance 1: Gold Edition,Jagged Alliance,1994,PC,digital,Steam,1,0,not started,no,no
250,Jagged Alliance 2: Unfinished Business,Jagged Alliance,2002,PC,physical,PC Disc,1,0,not started,no,no
251,Janosik - Highlander Precision Platformer,n/a,2020,PC,digital,GOG,1,0,not started,no,no
252,Jeopardy!: 2nd Edition,Jeopardy!,2000,PC,physical,PC Disc,1-4,0,not started,no,no
253,Jet Li: Rise to Honor,n/a,2004,PS2,physical,Console,1,0,perfect (100%),no,no
254,Jetfighter II: Advanced Tactical Fighter,Jetfighter,1992,PC,physical,PC Disc,1,0,not started,no,no
255,Jill of the Jungle: The Complete Trilogy,Jill of the Jungle,1992,PC,digital,GOG,1,0,not started,no,no
256,Jotun: Valhalla Edition,n/a,2015,PC,digital,Epic,1,0,not started,no,no
257,Journey,n/a,2015,PS4,digital,Console,1,2,beaten,yes,yes
258,Just Cause 2,Just Cause,2010,PC,digital,Steam,1,0,not started,no,no
259,Just Cause 3,Just Cause,2015,PS4,digital,Console,1,0,unfinished,yes,no
260,Just Cause 4,Just Cause,2018,PS4,digital,Console,1,0,not started,yes,no
261,Just Dance 2019,Just Dance,2018,Nintendo Switch,digital,Console,1-4,2-4,unfinished,yes,yes
262,Just Dance 3,Just Dance,2011,Nintendo Wii,physical,Console,1-4,0,unfinished,no,no
263,Just Dance 4,Just Dance,2012,Nintendo Wii,physical,Console,1-4,0,unfinished,no,no
264,Just Die Already,n/a,2021,PC,digital,Epic,1,2-4,not started,no,yes
265,Killing Floor 2,Killing Floor,2017,"PS4, PC",digital,Console&PC,1,2-6,not started,no,yes
266,Killzone: Liberation,Killzone,2006,PSP,physical,Console,1,2-6,beaten,no,terminated
267,Kinect Party,Double Fine Happy Action Theater,2012,Xbox 360,digital,Console,1-6,0,not started,no,no
268,Kitten Squad,n/a,2015,PS4,digital,Console,1-2,0,unfinished,no,no
269,Knack,n/a,2013,PS4,digital,Console,1-2,0,not started,yes,no
270,Kung Fu Panda: Showdown of Legendary Legends,Kung Fu Panda,2015,PS4,digital,Console,1-4,2-6,not started,yes,yes
271,Lamborghini American Challenge,n/a,1994,PC,physical,PC Disc,1-2,0,not started,no,no
272,Lawn Mowing Simulator,n/a,2021,PC,digital,Epic,1,0,not started,no,no
273,Legion: The Legend of Excalibur,n/a,2002,PS2,physical,Console,1,0,unfinished,no,no
274,LEGO Marvel: Super Heroes,LEGO Marvel,2013,Xbox 360,physical,Console,1-2,0,not started,no,no
275,LEGO Star Wars: The Force Awakens,LEGO Star Wars,2016,Xbox 360,physical,Console,1-2,0,not started,no,no
276,Life is Strange,Life is Strange,2015,PS4,digital,Console,1,0,unfinished,yes,no
277,Little Nightmares,Little Nightmares,2017,"PS4, PC",digital,Console&PC,1,0,not started,no,no
278,LittleBigPlanet 3,LittleBigPlanet,2014,PS4,digital,Console,1-4,2-4,unfinished,no,yes
279,Loop Hero,n/a,2021,PC,digital,Epic,1,0,not started,no,no
280,Lords of the Fallen,n/a,2014,PS4,digital,Console,1,0,not started,yes,no
281,Loria,n/a,2018,PC,digital,GOG,1,0,not started,no,no
282,Lovecraft's Untold Stories,H.P. Lovecraft,2019,PC,digital,GOG,1,0,not started,no,no
283,Lovers in a Dangerous Spacetime,n/a,2016,PS4,digital,Console,1-4,0,not started,yes,no
284,Lure of the Temptress,n/a,1992,PC,digital,GOG,1,0,not started,no,no
285,M.A.X.2: Mechanized Assault & Exploration,M.A.X.,1998,PC,physical,PC Disc,1,0,not started,no,no
286,Madagascar 2: Escape Africa,Madagascar,2007,Nintendo Wii,physical,Console,1-4,0,not started,no,no
287,Madden NFL 07,Madden,2006,PSP,physical,Console,1,2,not started,no,terminated
288,Madden NFL 08,Madden,2007,PSP,physical,Console,1,2-4,not started,no,terminated
289,Madden NFL 13,Madden,2012,Nintendo Wii,physical,Console,1-4,0,not started,no,no
290,Mafia,Mafia,2002,PC,digital,Steam,1,0,not started,no,no
291,Mages of Mystralia,n/a,2017,PC,digital,Epic,1,0,not started,no,no
292,Major League Baseball 2K10,2K Sports MLB,2010,Nintendo Wii,physical,Console,1-2,0,not started,no,no
293,Maneater,n/a,2020,PC,digital,Epic,1,0,not started,no,no
294,Manhunt,Manhunt,2003,PS2,physical,Console,1,0,beaten,no,no
295,Mario + Rabbids Kingdom Battle,Mario/Raving Rabbids,2017,Nintendo Switch,physical,Console,1-2,0,unfinished,no,no
